序号,ticker,name,close,pct_change,change,volume,amount,amplitude,high,low,open,prev_close,volume_ratio,turnover,pe,pb,total_mcap,float_mcap,speed_5min,pct_5min,pct_60d,pct_ytd,main_net_inflow,main_net_pct,super_large_net_inflow,super_large_net_pct,large_net_inflow,large_net_pct,medium_net_inflow,medium_net_pct,small_net_inflow,small_net_pct
604,603958,哈森股份,13.22,2.8,0.36,30923.0,40668524.0,4.74,13.36,12.75,12.86,12.86,1.83,1.41,42.12,4.45,2899939200.0,2899939200.0,0.08,0.61,-46.76,-0.6,2021231.0,4.96,4651384.0,11.42,-2630153.0,-6.46,-4484094.0,-11.01,2462863.0,6.05
605,000631,顺发恒能,2.94,2.8,0.08,93053.0,26976499.71,3.85,2.95,2.84,2.86,2.86,2.51,0.4,238.92,1.24,6762000250.0,6762000250.0,0.0,0.34,-7.55,-9.26,2307377.0,8.55,406606.0,1.51,1900771.0,7.04,-526391.0,-1.95,-1780986.0,-6.6
606,301219,腾远钴业,45.39,2.79,1.23,51482.0,232688093.31,4.39,45.98,44.04,44.36,44.16,2.13,1.88,8.18,1.81,17376714840.0,12402370227.0,-0.13,-0.42,-29.69,-12.37,14683105.0,6.28,-485328.0,-0.21,15168433.0,6.49,-4504202.0,-1.93,-10178902.0,-4.35
607,000783,长江证券,8.84,2.79,0.24,876353.0,770846137.48,3.37,8.91,8.62,8.64,8.6,2.24,1.58,8.22,1.39,48885844860.0,48885844860.0,0.11,-0.34,29.24,12.61,70690930.0,9.17,54046696.0,7.01,16644234.0,2.16,-18067897.0,-2.34,-52623032.0,-6.82
608,301186,超达装备,32.47,2.79,0.88,11030.0,35484244.2,3.64,32.64,31.49,31.55,31.59,1.16,1.02,58.38,2.3,3725721575.0,3502964030.0,-0.09,0.03,-33.86,-5.42,1506677.0,4.23,0.0,0.0,1506677.0,4.23,2229760.0,6.26,-3736437.0,-10.49
609,301397,溯联股份,25.01,2.79,0.68,15577.0,38836300.32,4.03,25.32,24.34,24.34,24.33,1.23,1.68,59.9,2.6,5056206474.0,2312396239.0,-0.28,0.36,-14.47,-5.37,312741.0,0.8,1418824.0,3.61,-1106083.0,-2.81,-1040776.0,-2.65,728035.0,1.85
612,601106,中国一重,2.96,2.78,0.08,356691.0,104792805.0,3.13,2.97,2.88,2.88,2.88,1.87,0.52,2613.54,3.93,20299037464.0,20299037464.0,0.0,0.0,-27.98,-25.81,19932614.0,18.62,14429015.0,13.48,5503599.0,5.14,-9806315.0,-9.16,-10126299.0,-9.46
613,002663,普邦股份,1.48,2.78,0.04,238557.0,34957703.0,4.17,1.49,1.43,1.44,1.44,2.18,1.4,-107.05,1.32,2550556375.0,2526531946.0,0.68,0.0,-29.86,-21.69,2643012.0,7.56,2005207.0,5.73,637805.0,1.82,-1334878.0,-3.82,-1308134.0,-3.74
615,688635,长进光子,263.0,2.77,7.1,8274.0,218689488.0,6.56,270.0,253.22,258.0,255.9,1.33,4.66,309.7,16.46,24635210000.0,4669963971.0,0.93,0.77,541.78,541.78,24247700.0,11.07,16764367.0,7.65,7483333.0,3.42,-23193347.0,-10.59,-1054353.0,-0.48
616,000682,东方电子,11.86,2.77,0.32,115184.0,135326393.66,4.51,11.96,11.44,11.45,11.54,2.21,0.86,16.86,2.61,15901022303.0,15899507330.0,0.08,-0.08,-12.79,0.42,11579145.0,8.56,6286837.0,4.65,5292308.0,3.91,-3559998.0,-2.63,-8019147.0,-5.93
